filename,D_u (mm^2/s),D_v (mm^2/s),F (1/s),k (1/s),delta_t (s),delta_x (mm),iterations,image_saved
000000.png,0.1,0.05,0.02,0.03,1.0,1.0,10000,1
000001.png,0.1,0.05,0.02,0.03286,1.0,1.0,10000,1
000002.png,0.1,0.05,0.02,0.03571,1.0,1.0,10000,1
000003.png,0.1,0.05,0.02,0.03857,1.0,1.0,10000,1
000004.png,0.1,0.05,0.02,0.04143,1.0,1.0,10000,1
000005.png,0.1,0.05,0.02,0.04429,1.0,1.0,10000,1
000006.png,0.1,0.05,0.02,0.04714,1.0,1.0,10000,1
000007.png,0.1,0.05,0.02,0.05,1.0,1.0,10000,1
000008.png,0.1,0.05,0.02,0.05286,1.0,1.0,10000,1
000009.png,0.1,0.05,0.02,0.05571,1.0,1.0,10000,1
000010.png,0.1,0.05,0.02,0.05857,1.0,1.0,10000,1
000011.png,0.1,0.05,0.02,0.06143,1.0,1.0,10000,0
000012.png,0.1,0.05,0.02,0.06429,1.0,1.0,10000,0
000013.png,0.1,0.05,0.02,0.06714,1.0,1.0,10000,0
000014.png,0.1,0.05,0.02,0.07,1.0,1.0,10000,0
000015.png,0.1,0.05,0.025,0.03,1.0,1.0,10000,1
000016.png,0.1,0.05,0.025,0.03286,1.0,1.0,10000,1
000017.png,0.1,0.05,0.025,0.03571,1.0,1.0,10000,1
000018.png,0.1,0.05,0.025,0.03857,1.0,1.0,10000,1
000019.png,0.1,0.05,0.025,0.04143,1.0,1.0,10000,1
000020.png,0.1,0.05,0.025,0.04429,1.0,1.0,10000,1
000021.png,0.1,0.05,0.025,0.04714,1.0,1.0,10000,1
000022.png,0.1,0.05,0.025,0.05,1.0,1.0,10000,1
000023.png,0.1,0.05,0.025,0.05286,1.0,1.0,10000,1
000024.png,0.1,0.05,0.025,0.05571,1.0,1.0,10000,1
000025.png,0.1,0.05,0.025,0.05857,1.0,1.0,10000,1
000026.png,0.1,0.05,0.025,0.06143,1.0,1.0,10000,1
000027.png,0.1,0.05,0.025,0.06429,1.0,1.0,10000,0
000028.png,0.1,0.05,0.025,0.06714,1.0,1.0,10000,0
000029.png,0.1,0.05,0.025,0.07,1.0,1.0,10000,0
000030.png,0.1,0.05,0.03,0.03286,1.0,1.0,10000,1
000031.png,0.1,0.05,0.03,0.03571,1.0,1.0,10000,1
000032.png,0.1,0.05,0.03,0.03857,1.0,1.0,10000,1
000033.png,0.1,0.05,0.03,0.04143,1.0,1.0,10000,1
000034.png,0.1,0.05,0.03,0.04429,1.0,1.0,10000,1
000035.png,0.1,0.05,0.03,0.04714,1.0,1.0,10000,1
000036.png,0.1,0.05,0.03,0.05,1.0,1.0,10000,1
000037.png,0.1,0.05,0.03,0.05286,1.0,1.0,10000,1
000038.png,0.1,0.05,0.03,0.05571,1.0,1.0,10000,1
000039.png,0.1,0.05,0.03,0.05857,1.0,1.0,10000,1
000040.png,0.1,0.05,0.03,0.06143,1.0,1.0,10000,1
000041.png,0.1,0.05,0.03,0.06429,1.0,1.0,10000,1
000042.png,0.1,0.05,0.03,0.06714,1.0,1.0,10000,0
000043.png,0.1,0.05,0.03,0.07,1.0,1.0,10000,0
000044.png,0.1,0.05,0.035,0.03571,1.0,1.0,10000,1
000045.png,0.1,0.05,0.035,0.03857,1.0,1.0,10000,1
000046.png,0.1,0.05,0.035,0.04143,1.0,1.0,10000,1
000047.png,0.1,0.05,0.035,0.04429,1.0,1.0,10000,1
000048.png,0.1,0.05,0.035,0.04714,1.0,1.0,10000,1
000049.png,0.1,0.05,0.035,0.05,1.0,1.0,10000,1
000050.png,0.1,0.05,0.035,0.05286,1.0,1.0,10000,1
000051.png,0.1,0.05,0.035,0.05571,1.0,1.0,10000,1
000052.png,0.1,0.05,0.035,0.05857,1.0,1.0,10000,1
000053.png,0.1,0.05,0.035,0.06143,1.0,1.0,10000,1
